"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"
"s_Anaerotruncus_colihominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.029409083101089	0.222494657167429	0	0.119793739196608	0.0657458434155911	0.349879822341461	237	0.352361328445538	0.00196889791027489	57	"B2"	0.00433157540260476
"s_Bifidobacterium_globosum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.22510888201016	0	0	0	5.76978147568034	283.5	0.258332720075637	0.00231427323735704	57	"B2"	0.00494997331323588
"s_Enterobacter_hoffmannii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.539365497262954	0	0	0	1.45411246320621	283.5	0.249103805766212	0.00231427323735704	57	"B2"	0.00494997331323588
"s_Negativibacillus_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.189319219331479	0	0	0	0.347326256898951	283.5	0.353350313442411	0.00231427323735704	57	"B2"	0.00494997331323588
"s_Faecalibacterium_longum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	9.39513711124333	3.45893650247489	1.91316489363138	0	16.779621128177	10.8460550323561	579.5	0.209280435202582	0.00262407824932594	57	"B1"	0.00556111995958067
"s_Gallintestinimicrobium_propionicum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.800055300733758	0.18915839574439	0.102724928496301	0	1.89027382071436	0.6957251338364	559	0.215452886606172	0.00292570045091025	57	"B1"	0.00614397094691153
"s_Clostridium_AP_sp000509125"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.27556315754997	0.562244207920833	0.851435027303198	0	1.20854890401059	0.84947218617644	586.5	0.327746435226633	0.00310450113433701	57	"B1"	0.0064607185768635
"s_Ruminococcus_C_sp000433635"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0938833292616561	0	0	0	0.201922713306456	0	510	0.322201646228306	0.00339842470812759	57	"B2"	0.00682640093545628
"s_Eubacterium_I_ramulus"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.1067264148406	0	0	0	0.216160918848838	0	510	0.339867219022608	0.00339842470812759	57	"B2"	0.00682640093545628
"s_Lachnoclostridium_B_ammoniilytica"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.098312125033698	0	0	0	0.193318294315724	0	510	0.348818192401937	0.00339842470812759	57	"B2"	0.00682640093545628
