Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Alistipes_species_incertae_sedis__ext_mOTU_v26_18141_	Non_responder	15	Responder	49	0.0666666666666667	0.775510204081633	0	0	0.258198889747161	1.71105847019772	282.5	0.196417304117076	0.0710050469218118	64	Responder	0.537751285506139
Clostridium_sp___ref_mOTU_v25_02380_	Non_responder	15	Responder	49	0.0666666666666667	3.28571428571429	0	0	0.258198889747161	16.0455081980389	282.5	0.0968924569127268	0.0710637793469651	64	Responder	0.537751285506139
Ruminococcus__gnavus__ref_mOTU_v25_01594_	Non_responder	15	Responder	49	10.7333333333333	3.36734693877551	0	0	22.4514290562242	15.3156971186849	458.5	0.179962221041943	0.0756054222951908	64	Responder	0.563705133877379
Clostridium_sp___ref_mOTU_v25_03675_	Non_responder	15	Responder	49	0.133333333333333	0.571428571428571	0	0	0.516397779494322	1.20761472884912	282.5	0.169034111540238	0.0775044459777305	64	Responder	0.569489190010281
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_18286_	Non_responder	15	Responder	49	0.2	0.0612244897959184	0	0	0.414039335605413	0.242226070825902	418.5	0.200100036558072	0.112942213530713	64	Responder	0.570762258966985
Clostridium_species_incertae_sedis__ext_mOTU_v26_16329_	Non_responder	15	Responder	49	0.2	0.0612244897959184	0	0	0.414039335605413	0.242226070825902	418.5	0.200100036558072	0.112942213530713	64	Responder	0.570762258966985
Clostridium_species_incertae_sedis__meta_mOTU_v25_12696_	Non_responder	15	Responder	49	0.533333333333333	0.183673469387755	0	0	1.55226409142382	0.833503384010205	418	0.142063989386043	0.117060434710645	64	Responder	0.570762258966985
Bacteroides_sp__CAG_144__ref_mOTU_v25_07595_	Non_responder	15	Responder	49	0.533333333333333	0.183673469387755	0	0	1.24594580635795	0.905388254372931	418.5	0.14872844574377	0.113491703856257	64	Responder	0.570762258966985
Desulfovibrionaceae_bacterium__mags_db_all_62_	Non_responder	15	Responder	49	0.733333333333333	0.183673469387755	0	0	1.79151438998513	0.486204234682432	437	0.239088694974385	0.107235602669953	64	Responder	0.570762258966985
X3576_135_bin_26_clean__mags_db_all_122_	Non_responder	15	Responder	49	0.533333333333333	0.285714285714286	0	0	0.915475416434127	0.866025403784439	439.5	0.119626434666288	0.0845408331331804	64	Responder	0.570762258966985
Erysipelotrichaceae_species_incertae_sedis__ext_mOTU_v26_28734_	Non_responder	15	Responder	49	0.333333333333333	0.489795918367347	0	0	0.816496580927726	3.14326296081259	418	0.0239157988210559	0.116962049647561	64	Responder	0.570762258966985
Eubacterium_species_incertae_sedis__meta_mOTU_v25_13196_	Non_responder	15	Responder	49	0.4	0.530612244897959	0	0	0.50709255283711	1.69683579072351	442.5	0.0368530716950455	0.101369546498555	64	Responder	0.570762258966985
Firmicutes_bacterium_CAG_170__ref_mOTU_v25_07733_	Non_responder	15	Responder	49	0.133333333333333	1.04081632653061	0	0	0.351865775274498	2.4062348153068	287.5	0.179449138493627	0.111210150687822	64	Responder	0.570762258966985
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17428_	Non_responder	15	Responder	49	0.533333333333333	0.938775510204082	0	0	1.30201309334357	1.17983337921975	276.5	0.14178777898087	0.111365875922769	64	Responder	0.570762258966985
Escherichia_coli__ref_mOTU_v25_00095_	Non_responder	15	Responder	49	2.2	0.469387755102041	0	0	7.2130833510068	2.51745606396886	418.5	0.178135933013546	0.113491703856257	64	Responder	0.570762258966985
Clostridium_sp___ref_mOTU_v25_03621_	Non_responder	15	Responder	49	0.133333333333333	1.12244897959184	0	0	0.516397779494322	2.62704406971366	293	0.178729380608376	0.104763373504792	64	Responder	0.570762258966985
Alistipes_species_incertae_sedis__ext_mOTU_v26_17843_	Non_responder	15	Responder	49	0.133333333333333	1.38775510204082	0	0	0.516397779494322	4.15239050894488	293	0.144714429664154	0.104824206778644	64	Responder	0.570762258966985
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17886_	Non_responder	15	Responder	49	0.8	1.30612244897959	0	0	2.83347338589432	2.52655959782479	285	0.0828632619411286	0.113179941606247	64	Responder	0.570762258966985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13202_	Non_responder	15	Responder	49	0.0666666666666667	1.87755102040816	0	0	0.258198889747161	5.5175200236052	297	0.157216967710369	0.114358767462402	64	Responder	0.570762258966985
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17315_	Non_responder	15	Responder	49	1.33333333333333	1.89795918367347	0	1	3.03942350423485	3.64717298030945	269.5	0.0683488419455544	0.0987917299495181	64	Responder	0.570762258966985
Clostridiales_Family_XIII__Incertae_Sedis_species_incertae_sedis__ext_mOTU_v26_17501_	Non_responder	15	Responder	49	1.33333333333333	2.22448979591837	0	1	1.87718127089781	2.14345229830338	260.5	0.179389901299941	0.0830889700330913	64	Responder	0.570762258966985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12707_	Non_responder	15	Responder	49	0.266666666666667	2.57142857142857	0	0	1.03279555898864	5.54526825320471	297.5	0.196708407997656	0.117079437736817	64	Responder	0.570762258966985
Bacteroides_species_incertae_sedis__ext_mOTU_v26_18052_	Non_responder	15	Responder	49	2.06666666666667	2.85714285714286	1	0	2.8900486072696	9.26912437432289	457	0.0407779058342671	0.0909283558897456	64	Non_responder	0.570762258966985
Eggerthellaceae_species_incertae_sedis__ext_mOTU_v26_15443_	Non_responder	15	Responder	49	0.666666666666667	3.55102040816327	0	1	1.29099444873581	8.06241595431594	264.5	0.170402914358569	0.0840194775615385	64	Responder	0.570762258966985
Eubacterium_ventriosum__ref_mOTU_v25_11151_	Non_responder	15	Responder	49	2.46666666666667	3.57142857142857	0	2	5.19431924133975	4.5	262	0.100585476735739	0.0863501146630595	64	Responder	0.570762258966985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13168_	Non_responder	15	Responder	49	1.66666666666667	3.87755102040816	0	2	2.6903708365382	6.58164319990717	264.5	0.157178373529713	0.0942069360646314	64	Responder	0.570762258966985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	Non_responder	15	Responder	49	3.2	4.42857142857143	2	3	4.07430975749267	3.90512483795333	263.5	0.131837021442461	0.0983783953812005	64	Responder	0.570762258966985
Roseburia_sp__40_7__meta_mOTU_v25_12352_	Non_responder	15	Responder	49	2.2	5.55102040816327	1	2	2.85857107160703	7.58579051167872	264.5	0.205519864911537	0.0987626388963679	64	Responder	0.570762258966985
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	Non_responder	15	Responder	49	3.86666666666667	5.87755102040816	0	2	7.81817175072341	8.62320670502285	263.5	0.101110785170593	0.094383798853276	64	Responder	0.570762258966985
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12303_	Non_responder	15	Responder	49	0.2	7.97959183673469	0	0	0.774596669241483	22.6195801942314	293	0.164570942436461	0.104907846101929	64	Responder	0.570762258966985
Clostridium_sp___ref_mOTU_v25_03680_	Non_responder	15	Responder	49	3.6	7.18367346938776	2	4	4.10226418317634	7.41247110558662	259.5	0.219243877868976	0.0863474041764841	64	Responder	0.570762258966985
Eubacterium__hallii__ref_mOTU_v25_03632_	Non_responder	15	Responder	49	6.13333333333333	9.3469387755102	3	6	6.25490283887844	8.24507686543957	264	0.17236986113511	0.10177203288996	64	Responder	0.570762258966985
Clostridium_sp__CAG_217__meta_mOTU_v25_12270_	Non_responder	15	Responder	49	4.06666666666667	10.734693877551	0	0	15.7501322745768	22.2146493615925	285	0.134777702301483	0.0874167737326469	64	Responder	0.570762258966985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	Non_responder	15	Responder	49	4.26666666666667	11.0204081632653	2	5	6.21595489350552	15.3507461761071	267	0.204123327899595	0.109792597537287	64	Responder	0.570762258966985
Dorea_formicigenerans__ref_mOTU_v25_03668_	Non_responder	15	Responder	49	7.73333333333333	10.2448979591837	5	8	8.34494429209058	8.03775106462441	267	0.131110070879537	0.112371736833672	64	Responder	0.570762258966985
Barnesiella_intestinihominis__ref_mOTU_v25_03595_	Non_responder	15	Responder	49	15.6	8.75510204081633	12	6	14.6424041741785	9.70723658807545	467	0.256306589841858	0.115393392328397	64	Non_responder	0.570762258966985
Ruminococcus_sp__CAG_254__meta_mOTU_v25_12276_	Non_responder	15	Responder	49	4.06666666666667	13.1020408163265	0	0	14.9306332593032	33.1839851547143	275	0.127340573356021	0.0934398449232408	64	Responder	0.570762258966985
Blautia_obeum__ref_mOTU_v25_05139_	Non_responder	15	Responder	49	6.66666666666667	14.2857142857143	3	6	7.8619033197772	21.9526004534011	267.5	0.163118381023416	0.112610066205833	64	Responder	0.570762258966985
Dorea_longicatena__ref_mOTU_v25_03692_	Non_responder	15	Responder	49	18	28.734693877551	12	20	19.5009157294142	24.973131820522	267.5	0.188705408143002	0.114436896765357	64	Responder	0.570762258966985
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_28927_	Non_responder	15	Responder	49	0.466666666666667	0.857142857142857	0	0	1.12546286774228	1.59426053914242	280.5	0.110375907569717	0.119331643444532	64	Responder	0.573852258087143
Coprococcus_comes__ref_mOTU_v25_03690_	Non_responder	15	Responder	49	11.6666666666667	16.6938775510204	10	15	10.2446269308541	13.1167896250579	269	0.168877153035188	0.11997700070461	64	Responder	0.573852258087143
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_26976_	Non_responder	15	Responder	49	0.2	0.0816326530612245	0	0	0.414039335605413	0.343798311385563	417	0.138691729281928	0.124296000679041	64	Responder	0.584932907998899
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26923_	Non_responder	15	Responder	49	0.533333333333333	0.408163265306122	0	0	1.24594580635795	2.11067097691448	416.5	0.0274099730063541	0.128508201187957	64	Responder	0.584932907998899
X3576_016_bin_50_clean__mags_db_all_10_	Non_responder	15	Responder	49	1.33333333333333	0.285714285714286	0	0	2.66368881351371	1.19023807142381	428.5	0.262588991514771	0.129076854164477	64	Responder	0.584932907998899
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12554_	Non_responder	15	Responder	49	0.266666666666667	0.836734693877551	0	0	1.03279555898864	2.15393959579022	298	0.123375398341878	0.130369661940583	64	Responder	0.584932907998899
Methanobrevibacter_smithii__ref_mOTU_v25_03695_	Non_responder	15	Responder	49	6.4	2.46938775510204	1	0	12.1584773482773	5.28402482652636	452.5	0.220655266140995	0.127721721314585	64	Non_responder	0.584932907998899
Clostridium_species_incertae_sedis__ext_mOTU_v26_17427_	Non_responder	15	Responder	49	2.66666666666667	4.3265306122449	2	3	2.22539456105675	3.57880191254723	272	0.208605513868035	0.129596753781911	64	Responder	0.584932907998899
Alistipes_shahii__ref_mOTU_v25_01014_	Non_responder	15	Responder	49	10.9333333333333	16.3469387755102	5	10	20.9811706968301	20.3127125839216	271.5	0.112228883373447	0.128336925022881	64	Responder	0.584932907998899
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	Non_responder	15	Responder	49	3.73333333333333	11.5714285714286	3	5	4.11385579764405	16.4266044371116	274	0.223575025555521	0.134138491004412	64	Responder	0.596563288940673
Eubacterium__rectale__ref_mOTU_v25_03657_	Non_responder	15	Responder	49	61	95.4285714285714	30	63	85.1997652578926	96.9643405244079	273.5	0.153793566647833	0.138296571154752	64	Responder	0.609707491960516
Coriobacteriia_species_incertae_sedis__ext_mOTU_v26_26765_	Non_responder	15	Responder	49	0.133333333333333	0.571428571428571	0	0	0.516397779494322	1.25830573921179	302.5	0.162727573440689	0.145562846213533	64	Responder	0.630772333591977
bacterium_LF_3__ref_mOTU_v25_03628_	Non_responder	15	Responder	49	1.2	4.83673469387755	1	1	1.47357679522601	9.80507296160069	278	0.176547445490051	0.145353276214139	64	Responder	0.630772333591977
uncultured_Clostridium_sp___ref_mOTU_v25_11611_	Non_responder	15	Responder	49	0.2	0.0816326530612245	0	0	0.414039335605413	0.276641667586244	411	0.159393065413229	0.207493485973495	64	Responder	0.637570893264012
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17698_	Non_responder	15	Responder	49	0.2	0.0816326530612245	0	0	0.414039335605413	0.276641667586244	411	0.159393065413229	0.207493485973495	64	Responder	0.637570893264012
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28740_	Non_responder	15	Responder	49	0.2	0.0816326530612245	0	0	0.414039335605413	0.276641667586244	411	0.159393065413229	0.207493485973495	64	Responder	0.637570893264012
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16226_	Non_responder	15	Responder	49	0.266666666666667	0.102040816326531	0	0	0.593616839704664	0.367701076463821	411.5	0.16158536366518	0.202876003559121	64	Responder	0.637570893264012
