Feature	beta	se	W	p.value	q.value	diffabn
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28740_	-0.171594215213925	0.0931435988970934	-1.84225451073138	0.0654379302849515	0.575879630817404	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17698_	-0.171594215213925	0.0961268915256578	-1.78508024643784	0.0742483015642388	0.575879630817404	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16226_	-0.190350424296479	0.107441127346972	-1.77167188205089	0.0764490397753925	0.580479336899201	FALSE
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	0.495649135742149	0.284922182347877	1.73959476113019	0.0819301998092914	0.59771824168645	FALSE
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	0.255163798590863	0.147975613112945	1.72436385444204	0.0846421785014907	0.59771824168645	FALSE
Christensenella_massiliensis__ref_mOTU_v25_10002_	-0.168567920460057	0.0976537871628203	-1.72617903880164	0.0843152078377561	0.59771824168645	FALSE
Sutterella_species_incertae_sedis__ext_mOTU_v26_26637_	-0.269303218923685	0.155063979739729	-1.73672325046541	0.0824360317652902	0.59771824168645	FALSE
Oscillibacter_species_incertae_sedis__meta_mOTU_v25_12663_	-0.311995847518304	0.180885786595804	-1.72482235000293	0.0845594926429452	0.59771824168645	FALSE
Eubacteriaceae_bacterium_CHKCI005__ref_mOTU_v25_09413_	-0.175474224452204	0.101911176722891	-1.72183493601826	0.0850994239800922	0.59771824168645	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_18072_	-0.239020369983348	0.139054151665359	-1.71890135692289	0.0856323350495267	0.59771824168645	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16332_	-0.20963700881081	0.122119440453457	-1.71665549753896	0.0860421358629806	0.59771824168645	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13774_	-0.377756436980229	0.223930783008805	-1.68693393514092	0.0916160559569817	0.610519192053884	FALSE
Firmicutes_bacterium_CAG_170__ref_mOTU_v25_07733_	0.214139287574802	0.127017964367137	1.68589764953127	0.0918155147547177	0.610519192053884	FALSE
Bifidobacterium_species_incertae_sedis__ext_mOTU_v26_26736_	-0.318554884588556	0.189385155703808	-1.68204780044516	0.0925595712302213	0.610519192053884	FALSE
Alistipes_species_incertae_sedis__ext_mOTU_v26_26506_	-0.217911806935466	0.128876347973903	-1.69085957478864	0.0908636257103452	0.610519192053884	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_33163_	-0.176204563468725	0.104253466800102	-1.69015543441432	0.0909982218323856	0.610519192053884	FALSE
Clostridium_sp___ref_mOTU_v25_03680_	0.39432620887014	0.235196112928276	1.67658471885712	0.0936237170016325	0.611362872020661	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	0.519422041881703	0.312552820441529	1.66186963582008	0.0965389160556451	0.624157546379567	FALSE
Alistipes_species_incertae_sedis__ext_mOTU_v26_17843_	0.230018046086733	0.139417633095675	1.64984902540185	0.0989738187253605	0.633626506153533	FALSE
Ruminococcaceae_bacterium_D16__ref_mOTU_v25_11463_	0.254762917280656	0.155762906127227	1.63558143344196	0.101927218757602	0.633890227130611	FALSE
Sutterellaceae_species_incertae_sedis__ext_mOTU_v26_17688_	0.261079438628653	0.159089893720306	1.64108123101555	0.100780554273201	0.633890227130611	FALSE
Streptococcus_gordonii_cristatus__ref_mOTU_v25_03970_	-0.18123750747109	0.110550141919377	-1.63941451656629	0.101126960402625	0.633890227130611	FALSE
Ruminococcus__gnavus__ref_mOTU_v25_01594_	-0.745939582281282	0.459572194175227	-1.62311730721652	0.104564330522336	0.642173713707752	FALSE
Butyricicoccus_species_incertae_sedis__meta_mOTU_v25_12336_	0.308705685440404	0.190555635747827	1.62002915436692	0.105226014344149	0.642173713707752	FALSE
Haemophilus_influenzae_parainfluenzae__ref_mOTU_v25_01068_	0.258417165619049	0.160573004453892	1.60934377791537	0.107541191526763	0.65009227390666	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13168_	0.366954119328538	0.231135947453487	1.58761163450087	0.112374185704959	0.659531619677157	FALSE
